DEP,DES,WAKE,EET
ZBSJ,ZLLL,M,0141
ZBLF,ZBHH,M,0059
ZLXY,RKPC,M,0246
ZLYL,ZSCN,M,0147
ZSNB,ZBAA,M,0203
ZSJN,ZBAA,M,0048
ZSFZ,ZBAA,M,0235
ZSCG,ZBAA,M,0138
ZYCC,ZSJN,M,0150
VHHH,EHAM,H,1148
ZUCK,ZSFY,M,0130
ZJSY,ZBSJ,M,0320
ZSNJ,ZLIC,M,0218
ZHCC,ZPPP,M,0221
ZBAA,EBBR,H,1044
ZBAA,ZYJZ,M,0050
ZGSZ,ZBTJ,M,0239
ZHCC,ELLX,H,1019
ZSLY,ZBTJ,M,0106
LEMD,RKSI,H,1125
ZYTL,OPIS,M,0656
UBBB,ZBAA,H,0631
ZSQZ,ZLXY,M,0217
RKSS,UAAA,M,0628
LFPG,ZHHH,H,1000
ZPTC,ZSQD,M,0329
ZYTX,ZUNC,M,0305
ZGGG,EGLL,H,1224
ZLXY,ZSCN,M,0132
RJAA,OMDB,J,1135
ZGSZ,ZBSJ,M,0231
ZBNY,ZSPD,M,0136
ZSNJ,ZBTJ,M,0125
ZLXY,ZSCG,M,0146
ZBTJ,ZWWW,M,0400
WSSS,ZSJN,M,0519
VMMC,ZBTJ,M,0243
ZUUU,ZSYT,M,0228
ZHHH,ZWWW,M,0427
ZBYN,ZWWW,M,0336
ZSNJ,ZBSJ,M,0127
ZBSJ,ZLIC,M,0121
ZBYC,ZGSZ,M,0212
ZBXJ,ZBLA,M,0300
ZBDS,ZHLY,M,0111
ZSJN,ZUCK,M,0150
ZJHK,ZHCC,M,0237
ZLQY,ZYHB,M,0250
ZHCC,ZSSS,M,0115
ZHCC,UBBB,H,0745
ZBSJ,ZUZY,M,0211
VTBS,ZBDS,M,0351
ZBHH,ZYHB,M,0142
ZBXJ,ZHWT,M,0300
ZBAA,ZYHB,M,0133
ZBYC,ZGSD,M,0213
ZGGG,EDDF,H,1209
EBBR,ZSPD,H,0956
WSSS,ZYTX,H,0554
ZSCN,ZHCC,M,0114
EGLL,VHHH,H,1113
ZYHB,ZBAA,M,0141
RKSI,UNNT,M,0546
ZYCC,ZLYL,M,0220
LTFM,RKSI,H,0924
ELLX,ZBAA,H,0900
ZBHD,ZUUU,M,0150
ZYHB,ZHLY,M,0246
VHHH,EKCH,H,1126
ZBOW,ZSPD,M,0220
ZBSJ,ZBTJ,M,0047
ZYCC,ZLXY,M,0256
ZSQD,ZBYN,M,0134
VIDP,ZBAA,H,0545
ZUUU,ZSWH,M,0240
ZSJN,ZHHH,M,0128
ZLZY,ZSPD,M,0248
ZHCC,VVDN,M,0319
ZLDH,ZBAA,M,0239
ZSQD,ZBYC,M,0131
ZSLY,ZUUU,M,0241
ZGOW,ZBAA,M,0245
ZBNY,ZSLY,M,0057
ZHXF,ZWWW,M,0336
UHWW,VVCR,M,0639
ZBHH,ZBYZ,M,0046
ZBAA,LEMD,H,1146
ZUGU,ZSJN,M,0140
KIAD,VHHH,H,1519
ZYTX,ZBDT,M,0130
LFPG,RJBB,H,1042
ZBHH,ZBYN,M,0037
ZHCC,UUEE,H,0744
ZBDT,ZBYN,M,0047
ZBAA,ZBYN,M,0057
ZBNY,ZSLG,M,0103
KSEA,ZBAA,H,1113
ZUMY,ZBAA,M,0223
ZHCC,ZSQD,M,0122
ZBTJ,VMMC,M,0252
ZBDT,ZLLL,M,0138
RKSI,ZLXY,H,0243
ZBAA,ZLLL,M,0203
ZLIC,ZSSS,M,0222
ZSSR,ZYHB,M,0312
LOWW,ZSPD,H,0930
ZBXJ,ZUNC,M,0154
ZLIC,ZSSH,M,0215
ZYTX,ZBCZ,M,0240
ZSWX,ZBYN,M,0144
ZSNJ,ZBOW,M,0216
ZBTJ,ZGSZ,M,0256
ZSLY,ZBNY,M,0104
RJTT,ZBAA,H,0317
UHHH,VVPQ,M,0713
ZSWX,ZBYC,M,0129
RJTT,OTHH,H,1131
ZHCC,ZSPD,M,0125
EHAM,ZBAA,H,0905
ZBHH,ZBXH,M,0048
ZLXN,ZBYN,M,0117
LKPR,ZSPD,H,1001
VTBS,ZBAA,H,0411
ZYHB,ZUCK,M,0342
LSGG,ZBAA,H,0956
ZBAA,ZYDQ,M,0132
ZWWW,ZSSS,M,0419
ESSA,ZSPD,H,0920
ZBTJ,ZGSD,M,0251
ZBNY,ZSJU,M,0300
ZBYN,ZGSZ,M,0234
ZLYL,ZYHB,M,0220
ZGCJ,ZSJN,M,0157
ZWWW,ZSSH,M,0412
OIIE,ZBAA,H,0637
ZBXG,ZBXG,M,0300
ZBYZ,ZBHH,M,0040
ZPJH,ZBAA,M,0332
CYVR,ZGSZ,H,1217
ZYTX,ZUGY,M,0339
ZGNN,ZHCC,M,0210
ZGGG,ZHCC,M,0158
ZSQD,ZLIC,M,0214
ZSNT,ZHCC,M,0122
ZLIC,ZSQD,M,0206
ZSAM,ZSJN,M,0156
ZBAA,ZYCC,M,0123
ZBSJ,ZUUU,M,0210
ZHCC,ZSNJ,M,0058
UUWW,ZBHH,M,0701
EDDM,ZSPD,H,0953
ZYHB,ZHHH,M,0300
LIPZ,RKSI,H,1028
ZSDY,ZSPD,M,0134
ELLX,ZHHH,H,1005
ZSLQ,ZHCC,M,0151
ZYTX,ZBAA,M,0119
ZLXY,ZYHB,M,0234
ZBHH,ZLIC,M,0103
ZBAA,ZLIC,M,0140
ZUGY,ZSQD,M,0255
ZLIC,ZSPD,M,0219
ZSJN,RCTP,M,0226
ZWWW,ZSQD,M,0413
ZBNY,ZYTL,M,0054
ZBHH,ZBUL,M,0130
ZBAA,ZUZY,M,0229
ZSQD,ZBTJ,M,0059
ZBHH,ZBUH,M,0059
ZBAA,UACC,M,0525
ZBNY,ZLZY,M,0300
ZBAA,ZYAS,M,0056
ZSFZ,ZHCC,M,0157
ZBYY,ZZZZ,L,0300
ZSPD,EFHK,H,0856
ZLYA,ZBTJ,M,0113
UIUU,ZBAA,M,0230
UNNT,ZBTJ,M,0354
VTSP,ZBAA,H,0442
UUEE,ZGGG,H,0855
ZSYA,ZBAA,M,0141
EKCH,ZBAA,H,0818
EIDW,ZGSZ,H,1057
KSFO,WSSS,H,1633
ZBHH,ZBTL,M,0120
LFPB,ZSPD,M,1040
ZBHH,ZBTJ,M,0101
LIRF,ZBAA,H,0916
ZBCD,ZBSJ,M,0052
ZLXY,ZBYZ,M,0127
ZUUU,ZSQD,M,0229
ZSAM,UNNT,H,0635
ZUCK,ZYHB,M,0333
DAAG,ZBAA,H,1100
ZGSD,ZBAA,M,0305
ZLIC,ZSNJ,M,0208
ZBNY,ZLYL,M,0116
ZBYN,ZGOW,M,0245
EBBR,RKSI,H,0934
ZWWW,ZSOF,M,0350
ZBHH,ZBSJ,M,0052
ZSPD,LFPG,H,1200
CYUL,ZSPD,H,1326
PHNL,ZBAA,H,1235
ZBTJ,ZGNN,M,0253
VVDN,ZBAA,M,0400
ZBOW,ZYTX,M,0136
ZBAA,UAAA,M,0457
KEWR,ZSPD,H,1404
ZYTX,ZUCK,M,0324
ZBOW,ZYTL,M,0134
ZLYL,ZYCC,M,0210
ZHCC,ZPDL,M,0246
ZWWW,ZSNJ,M,0402
ZBNY,ZYQQ,M,0133
ZBSJ,ZBLF,M,0048
ZBTJ,ZJSY,M,0345
ZBYN,ZGNN,M,0233
ZBAA,ZUWX,M,0210
ZGSZ,ZBHH,M,0256
ZGSZ,ZBHD,M,0210
ZSAM,ZLXY,M,0232
RJBB,UBBB,H,1000
LHBP,ZSPD,M,0910
ZUCK,ZBYN,M,0141
ZHCC,WSSS,M,0507
ZYTL,ZGHA,M,0224
ZBYN,ZJSY,M,0316
ZUPS,ZBAA,M,0301
ZBAA,EHAM,H,0938
ZSQZ,ZLLL,M,0311
ZSQD,ZUUU,M,0235
ZSQZ,ZBYC,M,0206
LOWW,RKSI,H,0930
EDDF,ZSQD,H,0934
ZBAA,LKPR,H,0959
KLAX,ZUUU,H,1351
ZYHB,ZHCC,M,0244
ZYTX,ZHHH,M,0234
UUMO,ZBAA,M,0656
ZLXY,ZYCC,M,0234
ELLX,ZHCC,H,0909
ZHCC,ZYTX,M,0152
ZMUB,RKSI,H,0248
ZHCC,RKSI,H,0153
ZHCC,ZYTL,M,0148
KLAX,VHHH,H,1424
LKPR,RKSI,H,0921
ZBYC,ZGHA,M,0121
ZSPD,OIIE,H,0908
ZBHH,ZUUU,M,0215
ZHCC,ZSHC,M,0114
ZSLG,ZBHH,M,0221
ZBAA,ZUUU,M,0228
ZGHY,ZYTL,M,0234
ESSA,RKSI,H,0826
EDDF,ZSPD,H,1010
ZBTJ,ZGKL,M,0240
ZHCC,UNNT,H,0425
RCTP,ZBAA,H,0251
ZHCC,ZSGZ,M,0136
UNNT,VHHH,M,0548
ZGOW,ZHCC,M,0207
ZLIC,ZSJN,M,0142
ZBAA,VHHH,H,0303
EFHK,VHHH,H,0848
VLVT,ZBAA,M,0335
UMMS,ZBAA,H,0715
LIRF,ZHHH,H,1047
UUWW,ZBAA,M,0700
ZUMY,ZHCC,M,0132
CYYZ,ZGGG,H,1448
UNKL,ZBSJ,M,0330
ZBAA,ZUTR,M,0232
ZUGY,ZSJN,M,0228
ZBAA,LEBL,H,1128
ZUCK,ZYCC,M,0328
ZHCC,ZSFZ,M,0146
ZUGY,ZSJG,M,0200
ZBHH,ZBNY,M,0044
ZWWW,ZSJN,M,0351
ZSGZ,ZSJN,M,0149
ZBSJ,ZUMY,M,0200
EDDM,RKSI,H,0933
ZLXY,ZBTL,M,0216
ZLXY,ZBTJ,M,0128
ZBSJ,ZBHH,M,0058
VHHH,ZBAA,H,0254
WSSS,ZYHB,H,0624
ZGGG,PANC,H,0928
EDDF,ZSNJ,H,0950
ZBNY,ZYMD,M,0300
ZHCC,ZLXY,M,0055
ZLIC,ZYTX,M,0158
ZUYB,ZSQD,M,0239
ZMUB,RKPK,M,0316
ZGSZ,ZBCZ,M,0212
KATL,ZSPD,H,1501
YMML,ZBAA,H,1108
ZSNJ,ZBDS,M,0201
ZUUU,ZSJN,M,0200
KJFK,VHHH,H,1516
ZBXZ,ZSHC,M,0152
RKSI,LEMD,H,1244
ZUGY,ZYTX,M,0317
ZUUU,ZSJG,M,0150
ZBAA,EKCH,H,0939
ZUGY,RKSI,M,0257
OMAA,RKSI,H,0751
ZUTR,ZBAA,M,0225
EGKK,VHHH,H,1104
ZSQD,ZHXF,M,0137
ZHLY,ZGKL,M,0137
ZBAA,ZHYC,M,0158
ZLTS,ZBTJ,M,0140
ZBTJ,ZGHA,M,0150
ZWWW,RKSI,M,0403
ZUCK,ZBTJ,M,0205
PANC,ZGHA,H,0927
EGLL,ZBAA,H,0900
ZJSY,ZBAA,M,0340
RJAA,LFPG,H,1417
LFPB,ZYTL,M,0944
ZBAA,ZBLL,M,0105
ZSSR,ZBNY,M,0153
ZBHH,ZBLF,M,0054
ZSSS,ZSJN,M,0124
UACC,RKSI,M,0545
ZSNJ,ZBCF,M,0157
ZBHH,ZBLA,M,0155
ZBTJ,ZGGG,M,0242
ZBYN,ZGHA,M,0144
ZYTX,ZHCC,M,0215
ZSYW,ZBAA,M,0205
ZLXN,ZHYC,M,0157
ZHCC,ZSCN,M,0105
ZUUU,ZYTX,M,0252
UHHH,VVCR,M,0706
RKSS,ZBAA,H,0136
LSZH,ZSPD,H,1120
ZUUU,RKSI,M,0315
ZSJN,ZWWW,M,0424
OMDB,RKSI,H,0754
ZUUU,ZYTL,M,0247
ZBYN,ZGGG,M,0212
KIAD,ZBAA,H,1344
ZGSZ,ZBAA,H,0237
ZBAA,NZAA,H,1141
VHHH,EGLL,H,1254
ZLYL,ZBNY,M,0104
CYVR,ZGGG,H,1228
ZPPP,ZSYT,M,0330
ZSPD,UBBB,H,0850
VTSP,ZHCC,M,0423
ZBSJ,ZBDH,M,0055
ZBAA,RJTT,H,0243
ZSYT,ZUUU,M,0253
EPWA,RKSI,H,0907
ZSPD,LIMC,H,1136
LIRF,RJAA,H,1216
ZLXY,ZBOW,M,0123
ZSNJ,ZBAA,M,0143
ZGSD,ZHCC,M,0213
ZHCC,ZSAM,M,0158
ZBTJ,ZGDY,M,0235
VABB,ZBAA,M,0535
VMMC,ZBAA,M,0255
ZBSJ,ZBCD,M,0052
ZYCC,ZBTJ,M,0138
ZGDY,ZBAA,M,0219
VTCC,ZBAA,M,0349
ZLIC,ZSCN,M,0158
VHHH,EDDF,H,1211
ZBSJ,ZUGY,M,0220
ZBAA,ZUNC,M,0210
ZSPD,LOWW,H,1129
EDDF,RKSI,H,0928
ZGHA,UUWW,H,0944
ZBSJ,VDSR,M,0426
ZSPD,UUEE,H,0945
ZBAA,HAAB,H,1114
ZYCC,ZBSJ,M,0152
ZBAA,ZBHH,M,0056
ZHYC,ZLXY,M,0115
RKSI,ZBTJ,H,0130
ZBTL,ZBNY,M,0105
LEBL,ZBAA,H,1055
EGLL,ZHHH,H,0952
ZSSS,ZLXY,M,0206
ZLLL,ZSYA,M,0216
ZUPS,ZHCC,M,0200
ZLXY,ZHYC,M,0114
WSSS,ZBTJ,H,0516
RKPK,ZBAA,H,0211
ZBTJ,ZJHK,M,0320
ZLXY,ZHXY,M,0104
ZBNY,ZLLT,M,0300
ZSJN,ZGSZ,M,0229
ZYJM,ZBAA,M,0220
RKSI,UAAA,H,0625
ZBOW,ZYHB,M,0204
KDTW,ZBAA,H,1244
UUEE,ZSQD,H,0741
ZYTX,VTBD,H,0525
ZBTJ,ZSYT,M,0105
ZSJN,ZGSD,M,0233
RCTP,ZHCC,M,0230
ZSAM,ZBYN,M,0230
ZBDS,UIII,M,0231
RPVK,ZBAA,M,0427
ZBHH,ZBER,M,0040
ZBTJ,ZSYC,M,0203
ZBER,ZBHH,M,0040
ZBAA,KJFK,H,1302
ZSXZ,ZBSJ,M,0106
ZGSZ,EDDF,H,1216
UUEE,ZSPD,H,0819
ZBYN,ZSYT,M,0120
ZYCC,ZUUU,M,0347
RKSI,EHAM,H,1106
ZUCK,ZBLL,M,0135
RKSI,LKPR,H,1052
ZSCN,UUWW,H,0950
VHHH,ZHCC,M,0203
ZBTJ,ZSWZ,M,0200
ZGKL,ZSJN,M,0214
ZBSJ,ZUCK,M,0158
ZSNJ,EDDF,H,1139
ZHHH,LIRF,H,1131
LSZH,RKSI,H,1002
ZBAL,ZBHH,M,0120
ZBOW,ZBXZ,M,0053
ZLGM,ZHCC,M,0225
EGLL,RJBB,H,1037
ZBYN,ZSWX,M,0141
ZBHH,ZBCF,M,0056
ZBXG,ZBCZ,M,0200
ZBTJ,ZPPP,M,0259
VDPP,ZBTJ,M,0424
ZBNY,ZYBA,M,0124
EDDL,ZBAA,H,0912
ZUGU,ZBSJ,M,0141
ZPBS,ZBTJ,M,0320
ZYHB,ZGSZ,M,0407
ZSJN,ZGOW,M,0210
ZBNY,ZBUC,M,0051
ZBAA,VTSP,H,0546
ZLXY,ZBHH,M,0119
ZJSY,ZHCC,M,0245
HAAB,RKSI,H,1031
ZSAM,ZLIC,M,0304
ZBAA,ZUGY,M,0248
ZSOF,ZYTX,M,0213
ZSXZ,ZUUU,M,0220
ZBYN,ZPPP,M,0222
ZPPP,ZSQD,M,0313
ZYTX,ZWWW,M,0433
ZLLL,ZSSS,M,0234
ZHHH,ELLX,H,1113
ZSQD,ZBAA,M,0117
ZBAA,VDSR,M,0437
ZBNY,ZBTL,M,0104
ZUAS,ZBNY,M,0235
KLAX,ZBAA,H,1217
ZLLL,ZSSH,M,0206
ZSYW,ZHCC,M,0142
ZHCC,ZLLL,M,0136
VHHH,EGCC,H,1221
EGLL,RPLL,H,1220
ZSQD,ZHLY,M,0126
ZLYA,ZBAA,M,0117
ZBAA,PHNL,H,0842
ZSJN,ZGNN,M,0249
ZLIC,ZYHB,M,0220
UNNT,ZBAA,M,0351
ZBHH,ZBAL,M,0115
ZBNY,ZUYI,M,0258
ZBAA,USSS,M,0616
ZBTL,ZBHH,M,0130
RJTT,OMDB,H,1122
ZBAA,EGPH,H,1024
KSEA,ZGSZ,H,1244
ZBHH,ZBAA,M,0100
UTTT,ZBAA,H,0453
ZBDT,ZBAA,M,0050
ZGSZ,ZHCC,M,0201
ZYCC,ZHXF,M,0251
EFHK,ZBAA,H,0711
ZSAM,ZBTJ,M,0223
LEZG,ZSPD,H,1129
ZBAA,OTHH,H,0840
ZSJN,ZJSY,M,0311
ZBAA,ZHLY,M,0122
ZUCK,ZBHD,M,0135
KIAH,ZBAA,H,1353
AYPY,ZBAA,M,0946
ZSWX,ZBAA,M,0143
ZBYC,ZSPD,M,0152
ZSGZ,ZYHB,M,0334
ZBTJ,ZSSS,H,0133
ZBAA,RPVK,M,0436
ZHLY,ZPPP,M,0217
ZSNJ,ZHCC,M,0101
CYYZ,ZSPD,H,1350
ZSAM,ZBSJ,M,0221
ZSPD,EBLG,H,1155
ZBTJ,ZSSH,M,0100
ZLXN,ZBAA,M,0155
ZSOF,ZLXY,M,0122
OERK,RJTT,M,0945
EBLG,ZHHH,H,1009
VMMC,ZHCC,M,0209
ZBAA,ZUDX,M,0209
ZBYN,ZSSS,M,0148
ZLIC,ZBYN,M,0059
LTBA,ZSPD,H,1001
ZBOW,ZBTJ,M,0105
ZHCC,ZYCC,M,0224
ZBNY,ZLDX,M,0300
ZBUC,ZBNY,M,0043
ZSPD,UNNT,H,0534
ZUUU,ZYHB,M,0331
ZSQD,ZUCK,M,0228
ZLXY,ZBDS,M,0113
ZBTJ,ZPLJ,M,0301
KJFK,ZBAA,H,1322
KLAX,ZUCK,H,1404
ZLLL,ZSPD,M,0228
ZSYT,ZBDS,M,0158
ZBAA,ZKPY,M,0130
ZBYN,ZSRZ,M,0120
ZBYY,ZSWF,L,0251
ZHCC,ZLIC,M,0132
ZUGY,ZBYN,M,0205
EGGW,ZBAA,M,0841
ZSJN,ZGKL,M,0222
RJTT,OMAD,M,1058
ZBTJ,ZSQZ,M,0223
ZGHA,ZSYT,M,0202
ZWWW,ZBYN,M,0305
ZBHH,ZUCK,M,0211
ZSYN,ZLXY,M,0152
ZSAM,EHAM,H,1130
ZHCC,ZUZY,M,0140
ZBAA,ZUCK,H,0224
ZPPP,ZSLY,M,0237
ZBNY,ZUUU,M,0222
ZLLL,ZSOF,M,0152
ZUWX,ZBYN,M,0125
UUEE,RKSI,H,0803
ZHCC,ZBUC,M,0136
ZYTX,ZGSZ,M,0341
ZLXY,ZBCD,M,0145
ZBAA,EGLL,H,1042
UUEE,ZSHC,H,0825
ZSYT,ZBCD,M,0115
ZSQD,ZHHH,M,0150
ZHNY,ZGKL,M,0137
ZHHH,ZSQD,M,0147
ZBAA,RJGG,H,0222
ZSPD,ZLXY,M,0209
ZUCK,ZBDS,M,0150
UNKL,ZBAA,M,0305
ZYTX,ZGSD,M,0355
ZHCC,ZBTJ,M,0110
ZLLL,ZSNJ,M,0211
ZUUU,ZBYN,M,0144
ZBYN,ZSQD,M,0136
ZBNY,ZUTR,M,0217
ZSPD,ZLXN,M,0257
ZBTJ,ZSPD,M,0145
ZBNY,ZUTP,M,0300
ULLI,ZSPD,H,0818
ZBNY,ZBNY,M,0300
ZSQD,EDDF,H,1044
ZUXC,ZBAA,M,0255
ZBHH,ZHHH,M,0135
ZBAA,ZHHH,M,0147
UUEE,ZSFZ,H,0830
ZUNC,ZBTJ,M,0151
RKSI,HAAB,H,1207
ZSPD,ZSDY,M,0141
ZGBH,ZBAA,M,0314
ZGHA,ZSWH,M,0220
ZHYC,ZBYN,M,0121
ZYTL,ZSJN,M,0059
ZBYN,ZSPD,M,0152
ZSJN,ZGHY,M,0207
KSFO,ZUUU,H,1309
ZPPP,ZSJN,M,0250
ZSSS,ZBYN,M,0209
ZBAA,EDDM,J,0936
ZBAA,EDDL,H,1010
ZLXY,ZBAA,M,0130
ZSAM,ZBNY,M,0223
RKSI,LDZA,H,1118
ZSSS,ZLLL,M,0252
ZBAA,EDDF,H,0939
ZHYC,ZBXZ,M,0132
LLBG,ZBAA,H,0903
ZBTJ,ZSNT,M,0127
ZGFS,ZSDY,M,0225
ZSYT,ZBAA,M,0106
ZSJN,ZGHA,M,0147
KSFO,VHHH,H,1406
ZLXN,ZHHH,M,0155
ZBYN,ZSOF,M,0125
ZBTJ,ZSNJ,M,0123
ZSSH,ZBTJ,M,0114
ZSQD,ZHES,M,0220
ZBXJ,ZZZZ,M,0300
ZHXF,ZSQD,M,0147
ZBYN,ZSNT,M,0151
ZSJN,ZGGG,M,0215
ZBNY,ZHXY,M,0123
ZLIC,ZBTJ,M,0135
ZUUU,ZYCC,M,0329
ZBYN,ZSNJ,M,0131
ZBTX,ZYMD,M,0300
ZBNY,ZBLL,M,0101
ZSSH,ZBSJ,M,0113
ZPPP,ZYTX,M,0340
ZBYN,ZSNB,M,0155
LIMC,ZBAA,H,0849
CYVR,ZSNJ,H,1151
ZPPP,RKSI,M,0335
ZSHC,ZSJN,M,0122
ZUCK,ZBAA,M,0224
ZHXF,ZSPD,M,0132
ZUGY,ZBTJ,M,0241
ZSPD,LLBG,H,1107
ZSQZ,ZBAA,M,0211
OTHH,ZBAA,H,0703
ZLIC,ZBSJ,M,0108
ZUCK,ZHLY,M,0118
ZBNY,ZHWT,M,0300
ZGGG,LFPG,H,1234
ZHCC,ZUUU,M,0144
ZBYC,ZYTX,M,0200
ZSAM,ZBLF,M,0221
ZUUU,ZYAS,M,0250
ZMUB,VHHH,M,0402
UACC,ZBTJ,M,0433
ZBDS,ZGHA,M,0203
ZUGY,ZBSJ,M,0220
ZHCC,ZBOW,M,0123
ZHYC,ZLIC,M,0150
ZYTX,ZGNN,M,0400
ZHCC,VHHH,H,0207
ZBYC,ZSHC,M,0135
RKTN,ZBAA,M,0227
ZHLY,ZSNT,M,0131
ZSYT,ZUCK,M,0230
ZSQD,ZHCC,M,0127
ZSSS,ZLIC,M,0250
ZWWW,ZBSJ,M,0311
ZPPP,ZSFY,M,0226
ZBYN,ZSLG,M,0123
ZBAA,RJBB,H,0216
ZSHC,EBLG,H,1128
ZUYI,ZBTJ,M,0245
ZUUU,ZBTJ,M,0218
LTBA,RKSI,H,0939
LGAV,ZBAA,H,0918
ZBAA,RCTP,H,0245
ZHLY,ZSNB,M,0143
EGPH,ZBAA,M,0840
ZLXY,RJGG,M,0326
UNNT,ZHCC,H,0346
ZYTL,ZLXY,M,0207
VHHH,LSZH,H,1207
ZLLL,ZYTX,M,0221
UUDD,ZSPD,H,0742
ZGHY,ZBNY,M,0215
ZYHB,ZGHA,M,0330
ZBHH,ZHCC,M,0103
LEMD,ZBAA,M,1005
ZSFZ,LFPG,H,1215
RKJB,UCFM,M,0702
ZBAA,ZHCC,M,0131
UTTT,RJAA,H,0723
ZBAA,RJAA,M,0303
OMAD,ZBAA,M,0630
ZHYC,ZBTJ,M,0147
ZUUU,ZBSJ,M,0150
ZLXY,ZHHH,M,0112
ZHHH,ZSJN,M,0123
ZSSS,ZBTJ,H,0142
MMTJ,ZBAA,H,1231
ZSWX,ZHCC,M,0115
ZYHB,ZGGG,M,0352
ZSPD,EBBR,H,1153
ZSYT,ZHHH,M,0156
ZSJN,ZGCD,M,0145
ZGCD,ZSJN,M,0140
ZYQQ,ZBAA,M,0150
ZBAA,RPLL,M,0406
ZSPD,ZLQY,M,0227
ZBTJ,WSSS,H,0531
ZYYJ,ZBAA,M,0159
ZYCC,ZBAA,M,0143
ZUZY,ZBSJ,M,0201
ZBAA,EPWA,H,0926
ZGHA,ZSQD,M,0218
ZBYC,ZLXN,M,0142
ZSOF,ZYHB,M,0241
WADD,ZBAA,H,0641
ZGZJ,ZSJN,M,0245
CYYC,ZBAA,H,1102
ZSSS,ZBSJ,M,0147
ZSJN,ZSZS,M,0134
ZSJN,ZJHK,M,0302
ZSHC,ZLYA,M,0225
ZYTX,ZGKL,M,0325
ZBTJ,ZPBS,M,0337
ZBTJ,ZYTX,M,0101
ZSDY,ZBNY,M,0050
ZSHC,ZLXY,M,0210
ZBTJ,RKSI,M,0120
ZBYY,ZYYY,L,0300
ZBTJ,ZYTN,M,0122
ZGGG,LIRF,H,1235
ZBAA,LTFM,H,0944
ZBTJ,ZYTL,M,0048
ZHHH,EBLG,H,1046
ZSHC,ZLXN,M,0259
ZBTJ,ZSHC,M,0140
RKSI,ZBAA,M,0134
ZHHH,ZYTX,M,0218
ZWWW,ZBOW,M,0223
RKSI,OTHH,H,1003
ZBYN,ZYTX,M,0145
ZHHH,ZYTL,M,0205
ZBAA,EGCC,H,1101
ZSJG,ZGGG,M,0200
ZBYN,ZYTL,M,0120
WSSS,ZBAA,H,0549
KJFK,RPLL,H,1627
LTFM,ZBAA,H,0823
ZGGG,ZSWF,M,0224
ZBYN,ZSHC,M,0149
ZBAA,YMML,H,1140
ZGKL,ZBYN,M,0210
ZBSJ,ZWWW,M,0351
ZBYC,ZSCN,M,0121
ZSOF,ZBYN,M,0119
RKPK,ZWWW,H,0600
EHAM,ZGGG,H,1036
ZBHD,ZGSZ,M,0230
ZBTJ,ZSFZ,M,0220
ZSOF,ZLLL,M,0211
ZBNY,ZBES,M,0145
KEWR,VHHH,H,1519
ZYCC,ZUCK,M,0337
ZBTJ,ZLYA,M,0118
ZSWZ,ZSJN,M,0146
ZWTN,ZHCC,M,0410
ZSJN,ZSWZ,M,0140
WMSA,ZBSJ,M,0542
ZBTJ,ZLXY,M,0136
VVCR,ZBTJ,M,0414
ZSQD,VTBD,H,0451
ZBAA,VTCC,M,0454
ZUUU,ZBNY,M,0209
ZBNY,ZBDS,M,0110
ZBTJ,ZLXN,M,0215
ZBAA,KSEA,H,1021
ZBTJ,ZYQQ,M,0145
ZHHH,ZLXY,M,0118
ZYTX,ZGHA,M,0255
ZBDT,VTBS,M,0513
ZSPD,ZBZJ,M,0209
ZHCC,LHBP,H,0954
USSS,ZBAA,M,0524
ZBAA,VTBS,H,0455
ZHHH,ZLXN,M,0213
ZHLY,ZSHC,M,0130
ZHXF,ZSHC,M,0121
ZBNY,ZBCZ,M,0059
ZSJN,ZPPP,M,0240
ZSPD,LEMD,H,1430
ZGSZ,ULLI,H,1017
ZSAM,ZBDT,M,0250
ZYCC,ZHHH,M,0257
ZYTX,ZGGG,M,0324
RKSI,EGLL,H,1124
ZSYT,ZHCC,M,0132
ZMUB,ZBHH,M,0122
ZHCC,ZUMY,M,0133
ZSPD,ZBYN,M,0207
ZSSS,ZBNY,M,0143
ZSHC,ZLTS,M,0225
ZHCC,ZBHH,M,0114
ZHCC,ZUMT,M,0150
ZBNY,ZBCF,M,0047
ZWWW,ZHXF,M,0327
ZHCC,ZBHD,M,0042
ZSPD,ZLLL,M,0251
LIMC,RJBB,H,1059
ZSPD,ZBYC,M,0201
ZBAA,LTBA,H,0932
EGCC,ZBAA,H,0921
ZBNY,ZHNY,M,0125
EDDF,VHHH,H,1036
ZBXH,ZBLA,M,0112
UAAA,RKSI,H,0501
VDPP,ZBAA,M,0429
LIMC,ZHCC,H,0929
ZUBZ,ZSPD,M,0203
LIMC,RJAA,H,1212
ZUUU,ZBLF,M,0130
ZUCK,ZHCC,M,0123
ZBYN,ZSCN,M,0140
ZSQZ,ZHCC,M,0151
ZBAA,ZGZH,M,0248
RKSI,EDDM,H,1036
ZGHA,ZSJN,M,0148
ZBSJ,ZGSZ,M,0237
RKSI,EDDK,H,1219
RKSI,EDDF,J,1101
ZUMT,ZBSJ,M,0155
OPKC,ZBAA,H,0636
ZGKL,ZBTJ,M,0200
ZSJN,ZSSS,M,0119
LFPG,ZSPD,J,0958
ZSJN,ZSSR,M,0131
ZBSJ,ZGSD,M,0234
ZSYN,ZLIC,M,0229
ZBTJ,ZLTS,M,0200
ZYMD,ZBAA,M,0222
ZLIC,ZBHH,M,0059
KBOS,ZSPD,H,1343
ZSWZ,ZLXY,M,0222
