DEP,DES,WAKE,EET
UHBB,VTBU,M,0649
ZBSJ,ZSWZ,M,0202
ZGSZ,EIDW,H,1238
ZSCN,ZBYN,M,0142
VHHH,UUDD,H,0920
ZSCN,ZLLL,M,0225
ZBAA,EFHK,H,0737
ZUUU,ZHCC,M,0130
ZSCN,ZBYC,M,0123
RKSI,OMAA,H,1001
ZSYT,ZGKL,M,0240
ZYHB,ZSCN,M,0310
ZGSZ,LIML,M,1231
ZYTL,ZBHH,M,0137
ZHLY,ZUUU,M,0130
ZGSD,ZSJN,M,0227
KJFK,ZGGG,H,1450
ZYTL,ZBHD,M,0120
ZHCC,VTBD,M,0359
ZPPP,ZBHH,M,0255
ZBAA,UHWW,M,0152
ZPPP,ZBHD,M,0225
ZBSJ,ZPPP,M,0256
ZPDL,ZBAA,M,0316
EGLL,ZSQD,H,1009
ZGHA,ZBTJ,M,0201
ZBTJ,ZBLL,M,0100
ZSSS,ZHCC,M,0129
ZBYN,ZHYC,M,0122
ZBXJ,ZSLG,M,0300
ZBTJ,ZBLA,M,0210
ZBAA,LFPG,H,1002
ZJHK,ZYCC,M,0425
ZGGG,ZYHB,M,0351
NZAA,ZBAA,H,1230
ZSPD,ZBAA,H,0150
EIDW,VHHH,H,1112
EGLL,ZSPD,H,1035
LIRF,RKSI,H,1035
ZHHH,ZBLA,M,0306
ZYHB,ZSAQ,M,0302
ZBCZ,ZGKL,M,0230
ZSPD,OTHH,H,1003
ZSRZ,ZBYN,M,0130
ZGSD,ZYTX,M,0332
ZBAA,VVNB,M,0357
ZGSZ,UUEE,H,0934
ZSRZ,ZLLL,M,0240
ZBNY,ZZZZ,M,0300
ZHXY,ZSHC,M,0116
ZSHC,ZBHH,M,0226
ZYTX,ZLXY,M,0254
ZBHD,ZSPD,M,0148
VTBD,ZBTJ,H,0414
ZSWZ,ZBNY,M,0212
ZBAA,ZSZS,M,0155
ZBCD,ZSYT,M,0110
ZBAA,ZJHK,H,0317
ZSCN,ZLIC,M,0215
ZSHC,ZHSY,M,0156
ZHCC,PANC,H,0820
RJGG,ZBTJ,M,0255
ZBAA,ZPTC,M,0339
ZKPY,ZBAA,M,0150
ZSJN,ZYHB,M,0158
ZBLL,ZBAA,M,0107
RPLL,ZBAA,M,0418
ZBAA,LSGG,H,1037
ZBSJ,ZSSS,M,0139
UUEE,ZBAA,H,0641
ZGGG,ZBYN,M,0223
ZJHK,ZBTJ,M,0320
LDZA,RKSI,H,0959
ZBNY,ZGSZ,M,0302
ZBAA,ZSYT,M,0057
ZSYA,ZLXY,M,0151
RCTP,ZSJN,M,0224
ZHES,ZYTL,M,0225
ZPPP,ZBDS,M,0227
KORD,VHHH,H,1508
ZSJG,ZSAM,M,0155
ZGDY,ZSQD,M,0221
ZBAA,OIIE,H,0748
ZHCC,ZWWW,M,0416
ZGGG,ZBXZ,M,0229
RJBB,ZHCC,M,0310
ZBAA,ZSYA,M,0129
ZBTJ,ZUNC,M,0209
ZSCN,ZBTJ,M,0149
ZJHK,ZBSJ,M,0257
EHAM,ZSAM,H,1037
ZBTJ,ZBHH,M,0108
ZLXN,ZSYT,M,0237
VVCR,ZHCC,M,0328
ZSPD,EGLL,H,1220
ZHHH,ZBHH,M,0156
ZSFZ,ZBYN,M,0231
ZBAA,ZSWZ,M,0212
ZBAA,ZSWY,M,0202
ZULZ,ZBAA,M,0230
ZBAA,ZSWX,M,0136
ZSJN,ZLLL,M,0210
ZBYN,ZBHH,M,0041
ZSQD,ZPPP,M,0319
ZSPD,EGKK,H,1221
WMKK,ZBAA,H,0546
UUWW,RKSS,H,0723
ZGGG,ZYCC,M,0342
ZBLL,ZUCK,M,0130
LEBL,ZSPD,H,1128
ZBHH,ZPPP,M,0249
ZBAA,ZPPP,H,0300
ZBSJ,ZSPD,M,0133
ZSPD,EDDP,H,1107
RPLL,EGLL,H,1403
ZSPD,EDDM,H,1145
ZBYC,ZUGY,M,0128
VHHH,ZYTX,M,0324
ZYTL,ZBAA,M,0111
ZSPD,EDDF,H,1130
ZJSY,ZSJN,M,0308
ZHCC,ZWTL,M,0350
ZPPP,ZBAA,M,0301
OLBA,RKSI,H,0933
ZBCF,ZBHH,M,0059
ZGGG,ZYAS,M,0323
YSSY,ZBAA,H,1059
ZSHC,ZHNY,M,0146
ZHLY,ZBHH,M,0113
ZHCC,VMMC,M,0206
ZYCC,ZGHA,M,0312
ZBDS,ZBYN,M,0058
ZBYZ,ZLXY,M,0118
ZBAA,VCBI,H,0731
ZSJN,ZYCC,M,0145
ZSHC,ZUGU,M,0223
UUEE,ZHHH,H,0724
ZBYC,ZBAA,M,0131
ZBHH,ZSTX,M,0201
RJAA,OTHH,H,1150
ZGNN,ZBTJ,M,0300
ZGGG,ZBTJ,M,0233
ZBSJ,ZSNJ,M,0118
ZHCC,ZGSZ,M,0201
